Time,Price,Qty,RSI
2019-11-17 21:09:50.695,8555.62,0.003654,50.0
2019-11-17 21:09:51.678,8554.91,0.001352,50.0
2019-11-17 21:09:52.160,8555.59,0.042952,50.0
2019-11-17 21:09:52.771,8555.1,0.341315,50.0
2019-11-17 21:09:54.458,8555.59,0.0014,50.0
2019-11-17 21:09:56.043,8555.55,0.002336,50.0
2019-11-17 21:09:56.149,8555.54,0.007064,50.0
2019-11-17 21:09:57.166,8555.24,0.372601,50.0
2019-11-17 21:09:57.871,8554.92,0.001386,50.0
2019-11-17 21:09:58.442,8555.52,0.016198,50.0
2019-11-17 21:09:58.442,8555.53,0.441336,50.0
2019-11-17 21:09:59.053,8555.44,0.103603,50.0
2019-11-17 21:09:59.773,8554.94,0.00195,50.0
2019-11-17 21:10:00.086,8555.41,0.004632,50.0
2019-11-17 21:10:00.555,8554.99,0.184991,50.0
2019-11-17 21:10:00.693,8555.19,0.083731,50.0
2019-11-17 21:10:01.639,8555.41,0.06081,50.0
2019-11-17 21:10:01.677,8555.42,0.128476,50.0
2019-11-17 21:10:01.719,8555.41,0.00195,50.0
2019-11-17 21:10:01.803,8556.03,0.133056,50.0
2019-11-17 21:10:02.302,8557.14,0.024967,50.0
2019-11-17 21:10:02.989,8556.88,1.838119,50.0
2019-11-17 21:10:04.085,8556.7,2.0,50.0
2019-11-17 21:10:04.085,8556.71,0.115971,50.0
2019-11-17 21:10:04.085,8556.72,1.884029,50.0
2019-11-17 21:10:04.092,8556.72,0.115971,50.0
2019-11-17 21:10:05.396,8556.39,0.758954,50.0
2019-11-17 21:10:05.568,8557.73,0.005801,50.0
2019-11-17 21:10:05.658,8556.91,0.329829,50.0
2019-11-17 21:10:06.092,8556.5,0.001348,50.0
2019-11-17 21:10:06.558,8557.51,0.002044,50.0
2019-11-17 21:10:06.868,8557.45,0.008855,50.0
2019-11-17 21:10:07.368,8557.35,0.059606,50.0
2019-11-17 21:10:07.368,8557.35,0.051213,50.0
2019-11-17 21:10:07.368,8557.36,0.148827,50.0
2019-11-17 21:10:07.377,8556.28,0.011822,50.0
2019-11-17 21:10:07.493,8557.32,0.004418,50.0
2019-11-17 21:10:09.706,8556.98,0.016,50.0
2019-11-17 21:10:09.711,8556.98,0.416914,50.0
2019-11-17 21:10:11.263,8556.98,0.005824,50.0
2019-11-17 21:10:12.316,8556.98,0.001333,50.0
2019-11-17 21:10:12.567,8556.98,0.008843,50.0
2019-11-17 21:10:12.567,8556.33,0.22577,50.0
2019-11-17 21:10:12.567,8556.32,0.160099,50.0
2019-11-17 21:10:12.567,8556.29,0.605288,50.0
2019-11-17 21:10:15.499,8556.32,0.11525,50.0
2019-11-17 21:10:18.304,8557.19,0.040043,50.0
2019-11-17 21:10:18.514,8557.19,0.00131,50.0
2019-11-17 21:10:18.793,8557.19,0.05678,50.0
2019-11-17 21:10:18.906,8557.19,0.280067,50.0
2019-11-17 21:10:19.045,8557.19,0.009467,50.0
2019-11-17 21:10:19.832,8556.89,0.147795,50.0
2019-11-17 21:10:19.832,8556.32,0.008324,50.0
2019-11-17 21:10:20.329,8556.88,0.020417,50.0
2019-11-17 21:10:20.691,8556.32,0.011565,50.0
2019-11-17 21:10:21.302,8556.88,0.002272,50.0
2019-11-17 21:10:21.535,8556.88,0.002304,50.0
2019-11-17 21:10:21.643,8556.88,0.092232,50.0
2019-11-17 21:10:21.843,8556.88,0.002304,50.0
2019-11-17 21:10:23.328,8556.34,0.158771,50.0
2019-11-17 21:10:26.740,8556.48,0.035374,50.0
2019-11-17 21:10:26.758,8556.79,0.001365,50.0
2019-11-17 21:10:32.941,8556.73,0.001386,50.0
2019-11-17 21:10:33.499,8556.7,0.068375,50.0
2019-11-17 21:10:33.515,8556.29,0.001235,50.0
2019-11-17 21:10:33.515,8555.76,0.014308,50.0
2019-11-17 21:10:34.245,8556.13,0.039455,50.0
2019-11-17 21:10:38.667,8556.38,0.169674,50.0
2019-11-17 21:10:41.159,8556.59,0.001393,50.0
2019-11-17 21:10:41.977,8555.79,0.011565,50.0
2019-11-17 21:10:42.113,8556.56,0.011565,50.0
2019-11-17 21:10:42.113,8556.57,0.074143,50.0
2019-11-17 21:10:42.146,8555.8,0.090497,50.0
2019-11-17 21:10:42.757,8556.27,0.17986,50.0
2019-11-17 21:10:43.160,8556.55,0.003893,50.0
2019-11-17 21:10:46.583,8556.09,0.283847,50.0
