Time,Price
2019-11-13 08:36:59.999,8750.54
2019-11-13 08:37:59.999,8754.53
2019-11-13 08:38:59.999,8757.12
2019-11-13 08:39:59.999,8757.98
2019-11-13 08:40:59.999,8755.99
2019-11-13 08:41:59.999,8757.69
2019-11-13 08:42:59.999,8755.45
2019-11-13 08:43:59.999,8756.76
2019-11-13 08:44:59.999,8755.06
2019-11-13 08:45:59.999,8755.14
2019-11-13 08:46:59.999,8755.0
2019-11-13 08:47:59.999,8749.02
2019-11-13 08:48:59.999,8748.68
2019-11-13 08:49:59.999,8749.26
2019-11-13 08:50:59.999,8749.08
2019-11-13 08:51:59.999,8750.25
2019-11-13 08:52:59.999,8748.56
2019-11-13 08:53:59.999,8747.5
2019-11-13 08:54:59.999,8746.14
2019-11-13 08:55:59.999,8745.84
2019-11-13 08:56:59.999,8747.34
2019-11-13 08:57:59.999,8740.72
2019-11-13 08:58:59.999,8740.01
2019-11-13 08:59:59.999,8744.26
2019-11-13 09:00:59.999,8745.36
2019-11-13 09:01:59.999,8741.2
2019-11-13 09:02:59.999,8740.24
2019-11-13 09:03:59.999,8742.13
2019-11-13 09:04:59.999,8741.34
2019-11-13 09:05:59.999,8738.69
2019-11-13 09:06:59.999,8736.62
2019-11-13 09:07:59.999,8738.61
2019-11-13 09:08:59.999,8740.12
2019-11-13 09:09:59.999,8740.39
2019-11-13 09:10:59.999,8743.17
2019-11-13 09:11:59.999,8744.32
2019-11-13 09:12:59.999,8743.9
2019-11-13 09:13:59.999,8746.02
2019-11-13 09:14:59.999,8747.1
2019-11-13 09:15:59.999,8750.89
2019-11-13 09:16:59.999,8760.1
2019-11-13 09:17:59.999,8760.29
2019-11-13 09:18:59.999,8753.29
2019-11-13 09:19:59.999,8752.93
2019-11-13 09:20:59.999,8756.28
2019-11-13 09:21:59.999,8756.88
2019-11-13 09:22:59.999,8756.38
2019-11-13 09:23:59.999,8760.19
2019-11-13 09:24:59.999,8756.21
2019-11-13 09:25:59.999,8752.49
2019-11-13 09:26:59.999,8756.07
2019-11-13 09:27:59.999,8752.27
2019-11-13 09:28:59.999,8756.43
2019-11-13 09:29:59.999,8757.1
